Count of ab_Id,Amenities
5303,Wifi
5048,Essentials
4951,Kitchen
4295,TV
4226,Hangers
3900,Hair dryer
3877,Washer
3709,Shampoo
3692,Iron
3442,Laptop friendly workspace
3431,Air conditioning
3300,Heating
2973,Hot water
2886,Smoke detector
2487,Family/kid friendly
2381,Dryer
2342,Elevator
2207,Fire extinguisher
1884,Refrigerator
1815,Internet
1803,First aid kit
1756,Bed linens
1735,Cable TV
1717,Dishes and silverware
1622,Cooking basics
1615,Microwave
1609,Long term stays allowed
1601,Lock on bedroom door
1529,Stove
1489,Free parking on premises
1450,Coffee maker
1428,Step-free access
1411,Oven
1339,Carbon monoxide detector
1302,Host greets you
1208,Extra pillows and blankets
1201,Self check-in
1196,Private entrance
1127,Luggage dropoff allowed
1105,Free street parking
984,Buzzer/wireless intercom
966,Smoking allowed
958,Patio or balcony
832,Dishwasher
819,Pool
794,translation missing: en.hosting_amenity_50
776,Paid parking off premises
770,Wide doorway
748,24-hour check-in
642,Pets allowed
613,translation missing: en.hosting_amenity_49
594,Private living room
584,Safety card
542,Doorman
518,Breakfast
504,Lockbox
491,Well-lit path to entrance
488,Gym
453,Garden or backyard
422,BBQ grill
420,Hot tub
408,High chair
389,Pack ’n Play/travel crib
381,Bathtub
376,Paid parking on premises
371,Suitable for events
365,Room-darkening shades
358,Crib
354,Other
348,Wheelchair accessible
324,Keypad
318,Wide hallway clearance
308,Pets live on this property
289,Ethernet connection
283,Children’s books and toys
275,Wide clearance to bed
274,Flat path to front door
273,Single level home
265,Building staff
254,Wide entryway
248,Accessible-height bed
223,Beach essentials
221,Indoor fireplace
214,Handheld shower head
204,Cleaning before checkout
196,Pocket wifi
193,Accessible-height toilet
191,Beachfront
146,Cat(s)
137,Children’s dinnerware
137,Dog(s)
131,Babysitter recommendations
118,Waterfront
117,Window guards
114,Smart lock
111,toilet
111,Wide clearance to shower
99,Baby bath
89,Outlet covers
69,Disabled parking spot
61,Game console
59,Roll-in shower
51,Full kitchen
48,Changing table
40,Stair gates
31,Fixed grab bars for shower
30,""
28,Body soap
25,Bath towel
25,Bathroom essentials
25,Bedroom comforts
25,Toilet paper
24,Table corner guards
23,Other pet(s)
22,Hot water kettle
21,Fireplace guards
19,Baby monitor
19,Bathtub with bath chair
17,Lake access
16,EV charger
11,Firm mattress
11,Fixed grab bars for toilet
10,Balcony
10,Smart TV
8,DVD player
8,Kitchenette
7,Ceiling fan
7,Espresso machine
6,Netflix
6,Rain shower
6,Terrace
5,En suite bathroom
5,Ground floor access
5,Outdoor seating
5,Shower chair
5,Sound system
5,Walk-in shower
4,Breakfast table
4,Pool with pool hoist
3,Air purifier
3,Heated towel rack
3,Memory foam mattress
3,Mini fridge
2,Beach chairs
2,Beach view
2,Bidet
2,Central air conditioning
2,Convection oven
2,Day bed
2,Double oven
2,Electric profiling bed
2,Formal dining area
2,Gas oven
2,Mountain view
2,Pillow-top mattress
2,Private bathroom
2,Ski-in/Ski-out
2,Standing valet
2,Sun loungers
2,Warming drawer
2,Washer / Dryer
1,Alfresco shower
1,Bicycle
1,Boogie boards
1,Breakfast bar
1,Chef's kitchen
1,Dining area
1,Fax machine
1,Home theater
1,Ice Machine
1,Ironing Board
1,Kayak
1,Murphy bed
1,Outdoor parking
1,Parking
1,Permit parking
1,Private hot tub
1,Private pool
1,Safe
1,Sauna
1,Shared pool
1,Snorkeling equipment
1,Sonos sound system
1,Swimming pool
1,Tennis court
1,Toaster
